"Country","Year","Total","Covid","Non_Covid"
"Australia","2020","164778","922","163856"
"Australia","2021","171718","1558","170160"
"Australia","2022","190326","16430","173896"
"Australia","2023","133615","5301","128314"
"Austria","2020","91196","7795","83401"
"Austria","2021","89538","9033","80505"
"Austria","2022","91582","4902","86680"
"Austria","2023","72739","871","71868"
"Belgium","2020","128432","19748","108684"
"Belgium","2021","111956","8232","103724"
"Belgium","2022","116138","4824","111314"
"Belgium","2023","92381","748","91633"
"Canada","2020","312305","15632","296673"
"Canada","2021","310551","14392","296608"
"Canada","2022","336525","18747","317778"
"Canada","2023","222390","4979","217411"
"Colombia","2020","305770","43495","262275"
"Colombia","2021","361449","86447","274002"
"Colombia","2022","284129","12237","271892"
"Colombia","2023","21971","548","21423"
"Czechia","2020","131494","12461","119033"
"Czechia","2021","139150","24026","115124"
"Czechia","2022","119868","5681","114187"
"Czechia","2023","90805","873","89932"
"Denmark","2020","55478","1014","54464"
"Denmark","2021","57041","24","57017"
"Denmark","2022","59274","779","58495"
"Denmark","2023","48108","1079","47029"
"Estonia","2020","16057","323","15734"
"Estonia","2021","18416","1528","16888"
"Estonia","2022","17201","895","16306"
"Estonia","2023","13326","174","13152"
"Finland","2020","56237","579","55658"
"Finland","2021","57578","1086","56492"
"Finland","2022","63047","6778","56269"
"Finland","2023","49770","1835","47935"
"France","2020","678770","66828","611942"
"France","2021","659225","61246","597979"
"France","2022","673015","38046","634969"
"France","2023","527554","5565","521989"
"Germany","2020","1001404","52743","948661"
"Germany","2021","1019045","65968","953077"
"Germany","2022","1064224","47987","1016237"
"Germany","2023","844301","8271","836030"
"Greece","2020","132969","5002","127967"
"Greece","2021","143668","16006","127662"
"Greece","2022","140292","14122","126170"
"Greece","2023","107473","2946","105514"
"Hungary","2020","143236","10562","132674"
"Hungary","2021","155052","28075","126977"
"Hungary","2022","135952","8789","127163"
"Hungary","2023","105827","313","105514"
"Iceland","2020","2345","29","2316"
"Iceland","2021","2338","9","2329"
"Iceland","2022","2689","148","2541"
"Iceland","2023","2108","0","2108"
"Ireland","2020","32474","2328","30146"
"Ireland","2021","34259","3810","30449"
"Ireland","2022","35176","2211","32965"
"Ireland","2023","29431","738","28693"
"Israel","2020","49556","3433","46123"
"Israel","2021","50682","4829","45853"
"Israel","2022","51546","3805","47741"
"Israel","2023","41745","640","41105"
"Italy","2020","756862","80915","675947"
"Italy","2021","706250","60665","645585"
"Italy","2022","711262","51749","659513"
"Italy","2023","543171","7948","535223"
"Latvia","2020","4667","295","4372"
"Latvia","2021","4490","345","4145"
"Latvia","2022","4444","321","4123"
"Latvia","2023","3703","39","3664"
"Lithuania","2020","33250","25","33225"
"Lithuania","2021","34803","26","34777"
"Lithuania","2022","36198","2280","33918"
"Lithuania","2023","31919","1292","30627"
"Luxembourg","2020","485604","29179","456425"
"Luxembourg","2021","518700","68795","449905"
"Luxembourg","2022","447053","20953","426100"
"Luxembourg","2023","338239","1311","336928"
"New Zealand","2020","125427","7225","118202"
"New Zealand","2021","124175","11777","112398"
"New Zealand","2022","124007","6821","117186"
"New Zealand","2023","97665","3151","95705"
"Poland","2020","60265","3410","56855"
"Poland","2021","72964","13540","59424"
"Poland","2022","59357","2498","56859"
"Poland","2023","43380","1960","43234"
"Portugal","2020","24405","3129","21276"
"Portugal","2021","23089","3024","20065"
"Portugal","2022","22441","2718","19723"
"Portugal","2023","17698","146","16964"
"Slovak Republic","2020","498856","55251","443605"
"Slovak Republic","2021","447772","36755","411017"
"Slovak Republic","2022","460480","27147","433333"
"Slovak Republic","2023","362758","2699","360059"
"Slovenia","2020","97191","10085","87106"
"Slovenia","2021","88566","5288","83278"
"Slovenia","2022","90881","7044","83837"
"Slovenia","2023","74138","290","73848"
"Spain","2020","77222","7756","69466"
"Spain","2021","70627","4207","66420"
"Spain","2022","74095","1921","72174"
"Spain","2023","58157","747","57410"
"Sweden","2020","696710","89243","607467"
"Sweden","2021","667043","84044","582999"
"Sweden","2022","656988","37554","619434"
"Sweden","2023","559836","19409","540427"
"Switzerland","2020","3440814","392818","3047996"
"Switzerland","2021","3457550","457832","2999718"
"Switzerland","2022","3278316","244518","3033798"
"Switzerland","2023","2134447","74768","2059679"
"United Kingdom","2020","972191","113176","859015"
"United Kingdom","2021","946470","148472","797998"
"United Kingdom","2022","965400","133175","832225"
"United Kingdom","2023","801792","58829","742963"
"United States","2020","164778","922","163856"
"United States","2021","171718","1558","170160"
"United States","2022","190326","16430","173896"
"United States","2023","133615","5301","128314"
